h,k,l,mag(G),S,I,d,2theta
-7,-7,-7,18.839174717319207,(51.49395891474445-6.621500755838545e-14j),2651.627804713389,0.017703377111503348,-4
-7,-7,-6,17.98687040801355,-7.255307251789166e-14j,5.263948331786446e-27,0.019420868920828296,-4
-7,-7,-5,17.232796606528392,(51.49395891474445-5.990881636234873e-14j),2651.627804713389,0.021157694596674735,-4
-7,-7,-4,16.59035320454595,1.0408402849807522e-13j,1.0833484988388134e-26,0.022828038906938526,-4
-7,-7,-3,16.072931555366868,(51.49395891474445-5.3602625166312037e-14j),2651.627804713389,0.024321462012999923,-4
-7,-7,-2,15.692903073610587,6.3061911960367106e-15j,3.9768047400970916e-29,0.025513690543048945,-4
-7,-7,-1,15.460402767530793,(51.49395891474445-4.7296433970275326e-14j),2651.627804713389,0.02628683268071709,-4
-7,-7,0,15.382121744191192,0j,0.0,0.02655506566725502,-4
-7,-7,1,15.460402767530793,(51.49395891474445-4.099024277423861e-14j),2651.627804713389,0.02628683268071709,-4
-7,-7,2,15.692903073610587,-6.3061911960367074e-15j,3.9768047400970876e-29,0.025513690543048945,-4
-7,-7,3,16.072931555366868,(51.49395891474445-3.4684051578201905e-14j),2651.627804713389,0.024321462012999923,-4
-7,-7,4,16.59035320454595,-1.261238239207342e-14j,1.5907218960388364e-28,0.022828038906938526,-4
-7,-7,5,17.232796606528392,(51.49395891474445-2.8377860382165194e-14j),2651.627804713389,0.021157694596674735,-4
-7,-7,6,17.98687040801355,-1.891857358811013e-14j,3.5791242660873813e-28,0.019420868920828296,-4
-7,-6,-7,17.98687040801355,-7.255307251789166e-14j,5.263948331786446e-27,0.0194208689208283,-4
-7,-6,-6,17.092118362557287,-6.939997691987331e-14j,4.816356796478948e-27,0.021507408556950346,-4
-7,-6,-5,16.296695429656,1.8918573588110135e-14j,3.5791242660873836e-28,0.023658149412645386,-4
-7,-6,-4,15.615787604107016,2.207166918612848e-14j,4.871585806618935e-28,0.025766301340504876,-4
-7,-6,-3,15.06493052849904,-2.681724946489077e-14j,7.191648688621843e-28,0.027685068461606302,-4
-7,-6,-2,14.658792921749422,-2.3664153866872414e-14j,5.599921782350127e-28,0.029240409386415644,-4
-7,-6,-1,14.409616815837545,-2.6817249464890767e-14j,7.191648688621841e-28,0.030260423667337118,-4
-7,-6,0,14.325595010264454,-2.3664153866872414e-14j,5.599921782350127e-28,0.03061642865165873,-4
-7,-6,1,14.409616815837545,-2.6817249464890767e-14j,7.191648688621841e-28,0.030260423667337118,-4
-7,-6,2,14.658792921749422,-2.366415386687241e-14j,5.599921782350125e-28,0.029240409386415644,-4
-7,-6,3,15.06493052849904,-2.6817249464890767e-14j,7.191648688621841e-28,0.027685068461606302,-4
-7,-6,4,15.615787604107016,-2.3664153866872414e-14j,5.599921782350127e-28,0.025766301340504876,-4
-7,-6,5,16.296695429656,-2.6817249464890767e-14j,7.191648688621841e-28,0.023658149412645386,-4
-7,-6,6,17.092118362557287,-2.3664153866872414e-14j,5.599921782350127e-28,0.021507408556950346,-4
-7,-5,-7,17.232796606528392,(51.49395891474445-5.990881636234873e-14j),2651.627804713389,0.021157694596674735,-4
-7,-5,-6,16.296695429656005,1.8918573588110135e-14j,3.5791242660873836e-28,0.02365814941264538,-4
-7,-5,-5,15.460402767530793,(51.49395891474445-5.360262516631203e-14j),2651.627804713389,0.02628683268071709,-4
-7,-5,-4,14.74091565350963,5.834820544507433e-14j,3.404513078660601e-27,0.0289155159487888,-4
-7,-5,-3,14.156055369904616,(51.49395891474445-4.7296433970275326e-14j),2651.627804713389,0.0313541739203734,-4
-7,-5,-2,13.72304564337064,6.3061911960367106e-15j,3.9768047400970916e-29,0.03336405686398708,-4
-7,-5,-1,13.45655336951372,(51.49395891474445-4.099024277423861e-14j),2651.627804713389,0.034698619138546556,-4
-7,-5,0,13.366541968864526,3.1554436208840472e-30j,9.956824444577827e-60,0.035167519397175565,-4
-7,-5,1,13.45655336951372,(51.49395891474445-3.4684051578201905e-14j),2651.627804713389,0.034698619138546556,-4
-7,-5,2,13.72304564337064,-6.3061911960367074e-15j,3.9768047400970876e-29,0.03336405686398708,-4
-7,-5,3,14.156055369904616,(51.49395891474445-2.8377860382165194e-14j),2651.627804713389,0.0313541739203734,-4
-7,-5,4,14.74091565350963,-1.2612382392073418e-14j,1.590721896038836e-28,0.0289155159487888,-4
-7,-5,5,15.460402767530793,(51.49395891474445-2.2071669186128484e-14j),2651.627804713389,0.02628683268071709,-4
-7,-5,6,16.296695429656005,-1.891857358811013e-14j,3.5791242660873813e-28,0.02365814941264538,-4
-7,-4,-7,16.590353204545945,1.0408402849807522e-13j,1.0833484988388134e-26,0.02282803890693853,-4
-7,-4,-6,15.615787604107016,2.2071669186128484e-14j,4.8715858066189365e-28,0.025766301340504876,-4
-7,-4,-5,14.74091565350963,5.834820544507433e-14j,3.404513078660601e-27,0.0289155159487888,-4
-7,-4,-4,13.98446047845596,1.1354331529213028e-13j,1.2892084447528107e-26,0.03212835105420978,-4
-7,-4,-3,13.366541968864526,5.834820544507431e-14j,3.4045130786605994e-27,0.03516751939717557,-4
-7,-4,-2,12.907072568930777,6.780749223912939e-14j,4.597856003759592e-27,0.0377158903679854,-4
-7,-4,-1,12.623365999454444,5.834820544507433e-14j,3.404513078660601e-27,0.039430249021075635,-4
-7,-4,0,12.52736942757849,6.780749223912939e-14j,4.597856003759592e-27,0.0400368682367845,-4
-7,-4,1,12.623365999454444,5.834820544507431e-14j,3.4045130786605994e-27,0.039430249021075635,-4
-7,-4,2,12.907072568930777,6.780749223912939e-14j,4.597856003759592e-27,0.0377158903679854,-4
-7,-4,3,13.366541968864526,5.834820544507431e-14j,3.4045130786605994e-27,0.03516751939717557,-4
-7,-4,4,13.98446047845596,6.780749223912939e-14j,4.597856003759592e-27,0.03212835105420978,-4
-7,-4,5,14.74091565350963,5.834820544507431e-14j,3.4045130786605994e-27,0.0289155159487888,-4
-7,-4,6,15.615787604107016,6.780749223912939e-14j,4.597856003759592e-27,0.025766301340504876,-4
-7,-3,-7,16.072931555366868,(51.49395891474445-5.360262516631204e-14j),2651.627804713389,0.02432146201299993,-4
-7,-3,-6,15.06493052849904,-2.681724946489077e-14j,7.191648688621843e-28,0.027685068461606302,-4
-7,-3,-5,14.156055369904616,(51.49395891474445-4.7296433970275326e-14j),2651.627804713389,0.0313541739203734,-4
-7,-3,-4,13.366541968864526,5.834820544507431e-14j,3.4045130786605994e-27,0.03516751939717557,-4
-7,-3,-3,12.718638037830024,(51.49395891474445-4.099024277423862e-14j),2651.627804713389,0.0388417378416566,-4
-7,-3,-2,12.234861324574357,6.3061911960367074e-15j,3.9768047400970876e-29,0.041974136054693426,-4
-7,-3,-1,11.935186571147623,(51.49395891474445-3.4684051578201905e-14j),2651.627804713389,0.04410841415916936,-4
-7,-3,0,11.833608667982404,-3.1554436208840472e-30j,9.956824444577827e-60,0.044868904058465386,-4
-7,-3,1,11.935186571147623,(51.49395891474445-2.8377860382165194e-14j),2651.627804713389,0.04410841415916936,-4
-7,-3,2,12.234861324574357,-6.3061911960367106e-15j,3.9768047400970916e-29,0.041974136054693426,-4
-7,-3,3,12.718638037830024,(51.49395891474445-2.2071669186128487e-14j),2651.627804713389,0.0388417378416566,-4
-7,-3,4,13.366541968864526,-1.2612382392073421e-14j,1.5907218960388366e-28,0.03516751939717557,-4
-7,-3,5,14.156055369904616,(51.49395891474445-1.5765477990091776e-14j),2651.627804713389,0.0313541739203734,-4
