h,k,l,mag(G),S,I,d,2theta
-7,-7,-7,11.903058327787052,(-0.7439999999999592+12.22239999999999j),149.9405977599997,0.04434684672819072,-4
-7,-7,-6,11.36455130404981,6.856051466412915e-15j,4.7005441710102683e-29,0.04864915275405996,-4
-7,-7,-5,10.888108754032885,(-0.7440000000000145-12.222399999999988j),149.94059775999972,0.052999889992227926,-4
-7,-7,-4,10.482197061995285,3.8966437606638695e-14j,1.5183832597520663e-27,0.05718409183371961,-4
-7,-7,-3,10.15527721743456,(-0.7439999999999621+12.22239999999999j),149.9405977599997,0.06092510718732743,-4
-7,-7,-2,9.915165787266293,-4.2016989085837937e-14j,1.7654273718394242e-27,0.06391163204945133,-4
-7,-7,-1,9.768266321338416,(-0.7439999999999815-12.222399999999988j),149.9405977599997,0.06584834817216197,-4
-7,-7,0,9.718806427221425,3.800124659392168e-14j,1.4440947426920442e-27,0.06652027009228607,-4
-7,-7,1,9.768266321338416,(-0.743999999999969+12.222399999999988j),149.94059775999963,0.06584834817216197,-4
-7,-7,2,9.915165787266293,1.9843008103781375e-15j,3.937449706067333e-30,0.06391163204945133,-4
-7,-7,3,10.15527721743456,(-0.7440000000000205-12.222399999999988j),149.94059775999972,0.06092510718732743,-4
-7,-7,4,10.482197061995285,5.7247464801482716e-15j,3.277272226197003e-29,0.05718409183371961,-4
-7,-7,5,10.888108754032885,(-0.7439999999999484+12.222400000000002j),149.94059776,0.052999889992227926,-4
-7,-7,6,11.36455130404981,3.3098477108113294e-14j,1.0955091868762997e-27,0.04864915275405996,-4
-7,-6,-7,11.36455130404981,6.856051466412916e-15j,4.7005441710102695e-29,0.04864915275405996,-4
-7,-6,-6,10.799224746714913,(9.892479440567395e-14+8.881784197001252e-16j),9.786903809110081e-27,0.05387592123176888,-4
-7,-6,-5,10.296656788847876,4.273458272315191e-14j,1.8262445605219137e-27,0.05926351335494577,-4
-7,-6,-4,9.86644231900142,(-4.8291519055409205e-14-8.881784197001252e-16j),2.3328596735841714e-27,0.06454442048558451,-4
-7,-6,-3,9.518397141883971,-7.588736065558652e-14j,5.7588915072710606e-27,0.06935091988344717,-4
-7,-6,-2,9.261789318304295,(8.493420793855758e-14+1.3322676295501878e-14j),7.391313381824864e-27,0.07324703897802287,-4
-7,-6,-1,9.104353668013665,7.390396091274023e-14j,5.461795438591835e-27,0.07580216824469808,-4
