h,k,l,mag(G),S,I,d,2theta
-7,-7,-7,11.903058327787052,(-39.80170461454196+8.142270491451704j),1650.472258979216,0.04434684672819072,-4
-7,-7,-6,11.36455130404981,-4.2757992022899983e-13j,1.8282458818303786e-25,0.04864915275405996,-4
-7,-7,-5,10.888108754032885,(-39.801704614540796-8.142270491451647j),1650.4722589791224,0.052999889992227926,-4
-7,-7,-4,10.482197061995285,3.4839752581012203e-13j,1.2138083599061465e-25,0.05718409183371961,-4
-7,-7,-3,10.15527721743456,(-39.80170461454212+8.142270491451718j),1650.4722589792286,0.06092510718732743,-4
-7,-7,-2,9.915165787266293,-3.2804318217640124e-14j,1.0761232937241957e-27,0.06391163204945133,-4
-7,-7,-1,9.768266321338416,(-39.80170461454111-8.142270491451647j),1650.4722589791472,0.06584834817216197,-4
-7,-7,0,9.718806427221425,-3.1724533575224933e-13j,1.006446030565574e-25,0.06652027009228607,-4
-7,-7,1,9.768266321338416,(-39.80170461454197+8.142270491451704j),1650.4722589792166,0.06584834817216197,-4
-7,-7,2,9.915165787266293,1.3459582039729582e-13j,1.8116034868421115e-26,0.06391163204945133,-4
-7,-7,3,10.15527721743456,(-39.801704614540824-8.142270491451661j),1650.4722589791247,0.06092510718732743,-4
-7,-7,4,10.482197061995285,-2.3277471645605093e-13j,5.418406862119491e-26,0.05718409183371961,-4
-7,-7,5,10.888108754032885,(-39.801704614541805+8.142270491451775j),1650.472258979205,0.052999889992227926,-4
-7,-7,6,11.36455130404981,7.931033650176934e-14j,6.290129476023886e-27,0.04864915275405996,-4
-7,-6,-7,11.36455130404981,-4.275799202289999e-13j,1.828245881830379e-25,0.04864915275405996,-4
-7,-6,-6,10.799224746714913,(-1.051582908764119e-12+4.973799150320701e-14j),1.1083004818035787e-24,0.05387592123176888,-4
-7,-6,-5,10.296656788847876,-2.428927018685034e-13j,5.899686462098168e-26,0.05926351335494577,-4
-7,-6,-4,9.86644231900142,(5.710391053673141e-13-2.1316282072803006e-14j),3.2654004374010973e-25,0.06454442048558451,-4
-7,-6,-3,9.518397141883971,6.871247618702638e-14j,4.7214043837526665e-27,0.06935091988344717,-4
-7,-6,-2,9.261789318304295,(-8.035492654780996e-13+9.237055564881302e-14j),6.542237416012639e-25,0.07324703897802287,-4
-7,-6,-1,9.104353668013665,-2.597012001872214e-13j,6.744471337868324e-26,0.07580216824469808,-4
-7,-6,0,9.051266605148696,(4.780122354884853e-13-7.105427357601002e-14j),2.3354440707011363e-25,0.07669395845934159,-4
-7,-6,1,9.104353668013665,1.9943113411815632e-13j,3.9772777255654053e-26,0.07580216824469808,-4
-7,-6,2,9.261789318304295,(-7.260458787745044e-13+9.237055564881302e-14j),5.356749376363128e-25,0.07324703897802287,-4
-7,-6,3,9.518397141883971,-1.1192621571789956e-13j,1.2527477764929787e-26,0.06935091988344717,-4
-7,-6,4,9.86644231900142,(6.543495446150505e-13+7.105427357601002e-15j),4.28223813635858e-25,0.06454442048558451,-4
-7,-6,5,10.296656788847876,1.8251142184233832e-13j,3.331041910291197e-26,0.05926351335494577,-4
-7,-6,6,10.799224746714913,(-6.330190088956757e-13+7.105427357601002e-15j),4.0076355272119763e-25,0.05387592123176888,-4
-7,-5,-7,10.888108754032883,(-39.801704614540796-8.142270491451647j),1650.4722589791224,0.05299988999222793,-4
-7,-5,-6,10.296656788847876,-2.428927018685034e-13j,5.899686462098168e-26,0.05926351335494577,-4
-7,-5,-5,9.768266321338416,(-39.80170461454164+8.142270491451718j),1650.472258979191,0.06584834817216197,-4
-7,-5,-4,9.313676499183844,2.3517751262123482e-14j,5.530846244271106e-28,0.07243318298937818,-4
-7,-5,-3,8.944147251017966,(-39.8017046145411-8.142270491451633j),1650.4722589791468,0.07854200565113295,-4
-7,-5,-2,8.670560954974183,1.7083069665560055e-13j,2.9183126919837816e-26,0.08357674960312866,-4
-7,-5,-1,8.502184519847894,(-39.801704614541734+8.142270491451704j),1650.4722589791982,0.08691981958725381,-4
-7,-5,0,8.445313082103427,3.2447712469011797e-13j,1.0528540444716636e-25,0.08809441174383832,-4
-7,-5,1,8.502184519847894,(-39.801704614541116-8.142270491451647j),1650.472258979148,0.08691981958725381,-4
-7,-5,2,8.670560954974183,1.6811000591025443e-13j,2.826097408714578e-26,0.08357674960312866,-4
