h,k,l,mag(G),S,I,d,2theta
-7,-7,-7,11.903058327787052,(-43.90959401202662+4.034401782720067j),1944.328844045419,0.04434684672819072,-4
-7,-7,-6,11.36455130404981,-4.2330265766558855e-13j,1.7918513998675045e-25,0.04864915275405996,-4
-7,-7,-5,10.888108754032885,(-43.9095940120255-4.034401782719996j),1944.32884404532,0.052999889992227926,-4
-7,-7,-4,10.482197061995285,3.301560217083326e-13j,1.0900299867027298e-25,0.05718409183371961,-4
-7,-7,-3,10.15527721743456,(-43.90959401202678+4.0344017827200815j),1944.3288440454328,0.06092510718732743,-4
-7,-7,-2,9.915165787266293,-1.921637705214735e-14j,3.6926914701029522e-28,0.06391163204945133,-4
-7,-7,-1,9.768266321338416,(-43.90959401202582-4.0344017827200105j),1944.3288440453482,0.06584834817216197,-4
-7,-7,0,9.718806427221425,-3.135978350010736e-13j,9.834360211736058e-26,0.06652027009228607,-4
-7,-7,1,9.768266321338416,(-43.90959401202663+4.034401782720053j),1944.3288440454196,0.06584834817216197,-4
-7,-7,2,9.915165787266293,1.2830530225299717e-13j,1.6462250586232962e-26,0.06391163204945133,-4
-7,-7,3,10.15527721743456,(-43.909594012025536-4.034401782720025j),1944.3288440453232,0.06092510718732743,-4
-7,-7,4,10.482197061995285,-2.2182988320266809e-13j,4.9208497081709367e-26,0.05718409183371961,-4
-7,-7,5,10.888108754032885,(-43.90959401202648+4.034401782720124j),1944.328844045407,0.052999889992227926,-4
-7,-7,6,11.36455130404981,6.773480315810621e-14j,4.588003558867395e-27,0.04864915275405996,-4
-7,-6,-7,11.36455130404981,-4.233026576655886e-13j,1.791851399867505e-25,0.04864915275405996,-4
-7,-6,-6,10.799224746714913,(-1.0302685428543677e-12+5.684341886080802e-14j),1.0646844446630474e-24,0.05387592123176888,-4
-7,-6,-5,10.296656788847876,-2.4654199449764573e-13j,6.078295505087717e-26,0.05926351335494577,-4
-7,-6,-4,9.86644231900142,(5.568291472282828e-13-2.1316282072803006e-14j),3.10513083084384e-25,0.06454442048558451,-4
-7,-6,-3,9.518397141883971,8.028847778968169e-14j,6.4462396657842104e-27,0.06935091988344717,-4
-7,-6,-2,9.261789318304295,(-7.893400720292292e-13+9.947598300641403e-14j),6.32953220506201e-25,0.07324703897802287,-4
-7,-6,-1,9.104353668013665,-2.7794474315139966e-13j,7.725328024549753e-26,0.07580216824469808,-4
-7,-6,0,9.051266605148696,(4.780133869613762e-13-6.394884621840902e-14j),2.325862530469521e-25,0.07669395845934159,-4
-7,-6,1,9.104353668013665,2.0371047738977833e-13j,4.149795859837139e-26,0.07580216824469808,-4
-7,-6,2,9.261789318304295,(-7.118364304289138e-13+9.947598300641403e-14j),5.166065748808702e-25,0.07324703897802287,-4
-7,-6,3,9.518397141883971,-1.265207285505804e-13j,1.600749475296965e-26,0.06935091988344717,-4
-7,-6,4,9.86644231900142,(6.401400006831895e-13+2.1316282072803006e-14j),4.1023360435608125e-25,0.06454442048558451,-4
-7,-6,5,10.296656788847876,1.9043925358992717e-13j,3.6267109307888586e-26,0.05926351335494577,-4
-7,-6,6,10.799224746714913,(-6.330206701620072e-13+2.1316282072803006e-14j),4.011695527337641e-25,0.05387592123176888,-4
-7,-5,-7,10.888108754032883,(-43.9095940120255-4.034401782719996j),1944.32884404532,0.05299988999222793,-4
-7,-5,-6,10.296656788847876,-2.465419944976457e-13j,6.078295505087715e-26,0.05926351335494577,-4
-7,-5,-5,9.768266321338416,(-43.909594012026304+4.0344017827200815j),1944.3288440453914,0.06584834817216197,-4
-7,-5,-4,9.313676499183844,2.8802680547576486e-14j,8.29594406725741e-28,0.07243318298937818,-4
-7,-5,-3,8.944147251017966,(-43.90959401202582-4.034401782719996j),1944.3288440453482,0.07854200565113295,-4
-7,-5,-2,8.670560954974183,1.5988564290122913e-13j,2.556341880593936e-26,0.08357674960312866,-4
-7,-5,-1,8.502184519847894,(-43.909594012026396+4.034401782720053j),1944.328844045399,0.08691981958725381,-4
-7,-5,0,8.445313082103427,3.171811036008853e-13j,1.0060385248147555e-25,0.08809441174383832,-4
-7,-5,1,8.502184519847894,(-43.90959401202582-4.0344017827200105j),1944.3288440453482,0.08691981958725381,-4
-7,-5,2,8.670560954974183,1.6446199789927967e-13j,2.704774875302267e-26,0.08357674960312866,-4
-7,-5,3,8.944147251017966,(-43.90959401202617+4.034401782720124j),1944.32884404538,0.07854200565113295,-4
-7,-5,4,9.313676499183844,2.2183769719849626e-13j,4.9211963898331715e-26,0.07243318298937818,-4
-7,-5,5,9.768266321338416,(-43.9095940120258-4.03440178272011j),1944.3288440453468,0.06584834817216197,-4
-7,-5,6,10.296656788847876,2.411670915979281e-13j,5.816156606980344e-26,0.05926351335494577,-4
-7,-4,-7,10.482197061995285,5.808380907824018e-15j,3.373728877037456e-29,0.05718409183371961,-4
-7,-4,-6,9.86644231900142,(7.202539764531058e-13-2.1316282072803006e-14j),5.192201744779183e-25,0.06454442048558451,-4
-7,-4,-5,9.313676499183844,1.9097650094783088e-13j,3.647202391427685e-26,0.07243318298937818,-4
-7,-4,-4,8.835729338221292,(-1.0302685428543677e-12+2.4158453015843406e-13j),1.1198163556071336e-24,0.0804813144326424,-4
-7,-4,-3,8.445313082103427,-1.9493472534580775e-13j,3.7999547145645503e-26,0.08809441174383832,-4
-7,-4,-2,8.15500890746159,(2.484002690873826e-13+7.105427357601002e-15j),6.175318078061822e-26,0.09447806476875413,179.18555934980512
-7,-4,-1,7.975756052964273,1.490209051089183e-13j,2.2207230159481234e-26,0.09877252225824296,155.91581396137258
-7,-4,0,7.915103035438158,(-3.3923257891116296e-13+6.572520305780927e-14j),1.1939854491170866e-25,0.10029209952375438,152.12415224322078
-7,-4,1,7.975756052964273,2.8591556849341973e-14j,8.174771230691538e-28,0.09877252225824296,155.91581396137258
-7,-4,2,8.15500890746159,(2.761069757425349e-13+3.730349362740526e-14j),7.76266126904986e-26,0.09447806476875413,179.18555934980512
-7,-4,3,8.445313082103427,4.331753809488167e-13j,1.8764091066015245e-25,0.08809441174383832,-4
-7,-4,4,8.835729338221292,(-7.796521168291898e-13+1.0658141036401503e-13j),6.192170203114193e-25,0.0804813144326424,-4
-7,-4,5,9.313676499183844,-5.572008394544406e-14j,3.1047277548873324e-27,0.07243318298937818,-4
-7,-4,6,9.86644231900142,(8.888160550356432e-13+1.0658141036401503e-13j),8.013535767243061e-25,0.06454442048558451,-4
-7,-3,-7,10.15527721743456,(-43.90959401202645+4.0344017827200815j),1944.328844045404,0.06092510718732743,-4
-7,-3,-6,9.518397141883971,-8.18853426105726e-14j,6.705209334450856e-27,0.06935091988344717,-4
-7,-3,-5,8.944147251017966,(-43.90959401202615-4.034401782719996j),1944.3288440453764,0.07854200565113295,-4
-7,-3,-4,8.445313082103429,-3.27609049455534e-14j,1.0732768928515853e-27,0.0880944117438383,-4
-7,-3,-3,8.035951292236042,(-15.819077427000531+1.2629485038721135j),251.83824956487055,0.09729830550811992,160.37839377246195
-7,-3,-2,7.730289153532403,8.207613249344871e-14j,6.736491525082147e-27,0.10514494304909733,142.84558325999856
-7,-3,-1,7.540947203955154,(-16.134086811519254-1.4568057603043272j),262.43104026489544,0.1104912960854921,135.23967869513615
-7,-3,0,7.4767677627464915,7.280945861567842e-14j,5.301217263908189e-27,0.11239631843179371,132.92766537173924
-7,-3,1,7.540947203955154,(-16.13408681151939+1.4568057603043627j),262.43104026489993,0.1104912960854921,135.23967869513615
-7,-3,2,7.730289153532403,1.789734466114491e-15j,3.2031494591981214e-30,0.10514494304909733,142.84558325999856
-7,-3,3,8.035951292236042,(-15.81907742700054-1.2629485038721207j),251.8382495648709,0.09729830550811992,160.37839377246195
-7,-3,4,8.445313082103429,2.9000614154895876e-13j,8.410356213611471e-26,0.0880944117438383,-4
-7,-3,5,8.944147251017966,(-43.90959401202625+4.034401782720124j),1944.3288440453864,0.07854200565113295,-4
-7,-3,6,9.518397141883971,-2.3751880236785746e-13j,5.641518147826133e-26,0.06935091988344717,-4
-7,-2,-7,9.915165787266293,3.0513126374836136e-13j,9.310508811667206e-26,0.06391163204945133,-4
-7,-2,-6,9.261789318304295,(-6.330206701620072e-13+9.947598300641403e-14j),4.106106400474491e-25,0.07324703897802286,-4
-7,-2,-5,8.670560954974183,-1.6446199789927965e-13j,2.7047748753022664e-26,0.08357674960312865,-4
-7,-2,-4,8.15500890746159,(2.484002690873826e-13+7.105427357601002e-15j),6.175318078061822e-26,0.09447806476875413,179.18555934980512
-7,-2,-3,7.730289153532403,1.9879486751593464e-13j,3.9519399350678004e-26,0.10514494304909733,142.84558325999856
-7,-2,-2,7.412032624270572,(-3.5447690472726313e-13+5.3290705182007514e-14j),1.2849377524381683e-25,0.1143681836674392,130.69939936112172
-7,-2,-1,7.214342794660484,2.8532921277885926e-14j,8.141275966500354e-28,0.1207219716489636,124.41189752715813
-7,-2,0,7.147231170465648,(1.9373147800336774e-13+2.1316282072803006e-14j),3.7986269450776664e-26,0.12299974469894405,122.42222600705865
-7,-2,1,7.214342794660484,7.290564007363361e-14j,5.3152323545462106e-27,0.1207219716489636,124.41189752715813
-7,-2,2,7.412032624270572,(-3.226761272917632e-13+2.1316282072803006e-14j),1.045742670054175e-25,0.1143681836674392,130.69939936112172
-7,-2,3,7.730289153532403,-4.791662869187816e-14j,2.2960033051953216e-27,0.10514494304909733,142.84558325999856
-7,-2,4,8.15500890746159,(1.6563765050955168e-13+2.1316282072803006e-14j),2.789021514773169e-26,0.09447806476875413,179.18555934980512
-7,-2,5,8.670560954974183,1.9245906994769996e-13j,3.704049360513367e-26,0.08357674960312865,-4
-7,-2,6,9.261789318304295,(-7.719045333018746e-13+6.394884621840902e-14j),5.999260634646505e-25,0.07324703897802286,-4
-7,-1,-7,9.768266321338416,(-43.90959401202582-4.0344017827200105j),1944.3288440453482,0.06584834817216197,-4
-7,-1,-6,9.104353668013665,-2.779447431513996e-13j,7.72532802454975e-26,0.07580216824469807,-4
-7,-1,-5,8.502184519847894,(-43.909594012026396+4.034401782720053j),1944.328844045399,0.0869198195872538,-4
-7,-1,-4,7.975756052964273,1.4902090510891833e-13j,2.220723015948124e-26,0.09877252225824296,155.91581396137258
-7,-1,-3,7.540947203955154,(-16.13408681151931-1.4568057603043272j),262.43104026489715,0.1104912960854921,135.23967869513615
-7,-1,-2,7.214342794660484,5.785306825903244e-14j,3.346977506984267e-27,0.1207219716489636,124.41189752715813
-7,-1,-1,7.011080964764849,(-16.693386193896437+1.6990736557584007j),281.5559939062643,0.12782326409890263,118.56700658597445
-7,-1,0,6.942004590872446,6.182562474804176e-14j,3.822407875485674e-27,0.1303797293808807,116.69250652944199
-7,-1,1,7.011080964764849,(-16.69338619389631-1.6990736557583936j),281.55599390626,0.12782326409890263,118.56700658597445
-7,-1,2,7.214342794660484,5.0567418120029886e-14j,2.5570637753259267e-27,0.1207219716489636,124.41189752715813
-7,-1,3,7.540947203955154,(-16.13408681151933+1.4568057603043698j),262.43104026489794,0.1104912960854921,135.23967869513615
-7,-1,4,7.975756052964273,-2.866479860307274e-14j,8.21670678954721e-28,0.09877252225824296,155.91581396137258
-7,-1,5,8.502184519847894,(-43.90959401202585-4.03440178272011j),1944.3288440453514,0.0869198195872538,-4
-7,-1,6,9.104353668013665,1.6187181569770678e-13j,2.620248471727235e-26,0.07580216824469807,-4
-7,0,-7,9.718806427221425,-3.1359783500107365e-13j,9.834360211736061e-26,0.06652027009228607,-4
-7,0,-6,9.051266605148696,(4.780133869613762e-13-6.394884621840902e-14j),2.325862530469521e-25,0.07669395845934159,-4
-7,0,-5,8.445313082103427,3.171811036008853e-13j,1.0060385248147555e-25,0.08809441174383832,-4
-7,0,-4,7.915103035438158,(-3.3923257891116296e-13+6.572520305780927e-14j),1.1939854491170866e-25,0.10029209952375438,152.12415224322078
-7,0,-3,7.4767677627464915,7.280945861567842e-14j,5.301217263908189e-27,0.11239631843179371,132.92766537173924
-7,0,-2,7.147231170465648,(1.9373147800336774e-13+2.1316282072803006e-14j),3.7986269450776664e-26,0.12299974469894405,122.42222600705865
-7,0,-1,6.942004590872446,6.182562474804175e-14j,3.8224078754856725e-27,0.1303797293808807,116.69250652944199
-7,0,0,6.872233929727671,(-3.400223043806305e-13+2.1316282072803006e-14j),1.1606955135772143e-25,0.13304054018457215,114.84835854073326
-7,0,1,6.942004590872446,-1.5456406187010435e-14j,2.3890049221785444e-28,0.1303797293808807,116.69250652944199
-7,0,2,7.147231170465648,(2.313769017204793e-13+2.1316282072803006e-14j),5.398965453117562e-26,0.12299974469894405,122.42222600705865
-7,0,3,7.4767677627464915,-1.1218063784796666e-14j,1.258449550797665e-28,0.11239631843179371,132.92766537173924
